Customer ID,Recency,Frequency,Monetary,Segment
12346,325,1,77183.6,At-Risk
12347,2,7,4310.0,Champions
12348,75,4,1797.24,At-Risk
12349,18,1,1757.55,Promising
12350,310,1,334.40000000000003,Lost
12352,36,8,2506.04,At-Risk
12353,204,1,89.0,Lost
12354,232,1,1079.4,Lost
12355,214,1,459.4,Lost
12356,22,3,2811.43,At-Risk
12357,33,1,6207.67,At-Risk
12358,1,2,1168.06,Promising
12359,57,4,6372.58,At-Risk
12360,52,3,2662.06,At-Risk
12361,287,1,189.9,Lost
12362,3,10,5226.2300000000005,Champions
12363,109,2,552.0,Lost
12364,7,4,1313.1,Promising
12365,291,2,641.38,Lost
12367,4,1,168.9,Promising
12370,51,4,3545.69,At-Risk
12371,44,2,1887.96,At-Risk
12372,71,3,1298.04,At-Risk
12373,311,1,364.6,Lost
12374,25,1,742.9300000000001,Promising
12375,10,2,457.5,Promising
12377,315,2,1628.12,At-Risk
12378,129,1,4008.62,At-Risk
12379,81,2,852.24,At-Risk
12380,21,4,2724.81,At-Risk
12381,4,5,1845.31,Champions
12383,184,5,1850.56,At-Risk
12384,28,2,585.27,Promising
12386,337,2,401.9,Lost
12388,15,6,2780.6600000000003,Champions
12390,79,1,549.84,Lost
12391,21,1,460.89,Promising
12393,72,4,1582.6,At-Risk
12394,63,2,1272.48,At-Risk
12395,19,12,3018.63,Champions
12397,35,2,2409.9,At-Risk
12398,45,1,1635.66,At-Risk
12399,119,4,1108.65,At-Risk
12401,303,1,84.3,Lost
12402,323,1,225.6,Lost
12403,49,1,427.7,Lost
12405,148,1,1710.39,At-Risk
12406,22,2,3415.3,At-Risk
12407,49,5,1708.12,At-Risk
12408,32,5,2888.55,At-Risk
12409,78,3,11072.67,At-Risk
12410,308,2,693.33,Lost
12412,74,3,1226.88,At-Risk
12413,66,3,758.1,At-Risk
12414,217,3,562.4100000000001,Lost
12415,24,21,124914.53,Champions
12417,3,9,3649.1,Champions
12418,112,1,668.58,Lost
12420,63,1,600.39,Lost
12421,15,4,807.04,Promising
12422,95,3,803.5600000000001,At-Risk
12423,0,8,1859.31,Champions
12424,162,2,1760.96,At-Risk
12425,78,1,777.2,Lost
12426,194,1,582.73,Lost
12427,21,3,825.8000000000001,Promising
12428,25,9,7956.46,Champions
12429,9,4,3750.4,Champions
12430,43,1,256.4,Lost
12431,35,15,6487.45,Champions
12432,42,5,5059.32,At-Risk
12433,0,7,13375.87,Champions
12434,84,2,806.14,At-Risk
12435,79,2,7829.89,At-Risk
12436,99,1,509.01,Lost
12437,1,18,4951.41,Champions
12438,14,2,2906.85,At-Risk
12441,366,1,173.55,Lost
12442,3,1,172.06,Promising
12444,21,5,5005.46,At-Risk
12445,22,1,133.4,Promising
12446,57,1,1002.31,Lost
12447,243,1,476.49,Lost
12448,44,1,449.45,Lost
12449,22,4,4067.29,At-Risk
12450,156,2,197.88,Lost
12451,10,5,9035.52,Champions
12452,16,2,430.5700000000001,Promising
12453,134,1,707.09,Lost
12454,56,1,3528.34,At-Risk
12455,73,6,2466.86,At-Risk
12456,44,3,3181.04,At-Risk
12457,66,7,2363.23,At-Risk
12458,71,2,947.4,At-Risk
12461,94,2,826.88,At-Risk
12462,18,2,1189.59,Promising
12463,53,4,1344.78,At-Risk
12464,10,8,1212.05,Champions
12465,17,2,742.19,Promising
12468,187,2,729.54,Lost
12471,2,30,19824.05,Champions
12472,32,7,6572.11,Champions
12473,29,5,3938.55,At-Risk
12474,17,18,7375.79,Champions
12475,53,1,723.38,Lost
12476,15,11,6816.42,Champions
12477,22,6,13219.74,Champions
12478,3,1,680.99,Promising
12479,11,1,527.2,Promising
12480,28,4,3281.63,At-Risk
12481,22,10,5596.32,Champions
12483,17,8,2484.98,Champions
12484,32,6,4541.72,At-Risk
12488,9,3,1298.66,Promising
12489,336,1,334.93,Lost
12490,5,10,5417.93,Champions
12491,38,1,460.4,Promising
12492,63,2,263.21000000000004,Lost
12493,165,2,433.74,Lost
12494,15,7,1246.1,At-Risk
12497,81,1,1043.1,Lost
12498,21,3,403.7000000000001,Promising
12500,23,11,4257.82,Champions
12501,336,1,2169.39,Lost
12502,95,5,3723.87,At-Risk
12504,18,2,482.05,Promising
12506,232,1,73.5,Lost
12507,134,3,1304.81,At-Risk
12508,26,2,398.27,Promising
12509,284,1,176.5,Lost
12510,142,2,982.57,At-Risk
12512,66,2,138.03,Lost
12513,112,1,612.29,Lost
12514,267,1,1017.68,Lost
12515,353,1,383.7,Lost
12516,77,2,1312.06,At-Risk
12517,28,5,2502.84,At-Risk
12518,0,5,2056.89,Champions
12519,63,1,340.84000000000003,Lost
12520,79,5,2634.26,At-Risk
12521,142,1,599.68,Lost
12522,39,2,192.72,Promising
12523,19,11,1789.77,Champions
12524,9,8,4485.72,Champions
12526,0,3,1316.66,Promising
12527,81,3,348.71000000000004,Lost
12528,9,6,1933.48,Champions
12530,59,4,1662.28,At-Risk
12531,14,1,125.22,Promising
12532,30,1,349.83000000000004,Promising
12534,130,1,1089.18,Lost
12535,91,2,716.35,At-Risk
